    51/499     8.86G  0.008979  0.001415         0   0.01039        33       640    0.5359     0.921    0.7839     0.559   0.01105  0.001081         0
    52/499     8.86G  0.008983  0.001416         0    0.0104        35       640    0.5197    0.9197    0.7755    0.5535     0.011  0.001088         0
    53/499     8.86G  0.008892  0.001401         0   0.01029        35       640    0.5025    0.9182    0.7769    0.5548   0.01111    0.0011         0
    54/499     8.86G   0.00887  0.001362         0   0.01023        46       640    0.5085    0.9185    0.7913    0.5643   0.01108  0.001085         0
    55/499     8.86G   0.00888   0.00141         0   0.01029        59       640    0.4991    0.9216    0.7825    0.5586   0.01108  0.001096         0
    56/499     8.86G   0.00888  0.001389         0   0.01027        39       640    0.4872    0.9225    0.7655    0.5467   0.01106  0.001107         0
    57/499     8.86G  0.008959  0.001403         0   0.01036        27       640    0.4849     0.921    0.7624    0.5444   0.01109  0.001109         0
    58/499     8.86G  0.008772  0.001391         0   0.01016        57       640    0.4681    0.9185     0.751    0.5348   0.01117  0.001132         0
    59/499     8.86G  0.008823  0.001363         0   0.01019        36       640    0.4643    0.9182    0.7451    0.5302   0.01109  0.001133         0
    60/499     8.86G  0.008763  0.001348         0   0.01011        43       640    0.4858      0.92    0.7479    0.5337   0.01101  0.001123         0
    61/499     8.86G  0.008664  0.001339         0      0.01        53       640    0.4989    0.9173    0.7547    0.5427   0.01092  0.001114         0
    62/499     8.86G  0.008665  0.001366         0   0.01003        51       640    0.4906    0.9188    0.7635    0.5485   0.01093  0.001106         0
    63/499     8.86G  0.008696  0.001365         0   0.01006        32       640    0.4851    0.9134    0.7496    0.5368   0.01099  0.001125         0
    64/499     8.86G  0.008653  0.001354         0   0.01001        55       640    0.4736    0.9134    0.7531    0.5404   0.01097  0.001138         0
    65/499     8.86G  0.008503  0.001326         0  0.009829        41       640     0.477    0.9128    0.7618    0.5457   0.01099  0.001135         0
    66/499     8.86G   0.00858  0.001316         0  0.009895        43       640     0.493    0.9176    0.7706    0.5536   0.01095   0.00112         0
    67/499     8.86G  0.008476  0.001335         0  0.009811        44       640    0.5022    0.9191    0.7733    0.5553   0.01095  0.001121         0
    68/499     8.86G  0.008606   0.00133         0  0.009936        31       640    0.5077    0.9143    0.7722    0.5536   0.01093  0.001127         0
    69/499     8.86G  0.008554  0.001336         0  0.009891        59       640    0.4996    0.9146    0.7714    0.5537   0.01091  0.001128         0
    70/499     8.86G  0.008505  0.001323         0  0.009828        52       640    0.4931     0.917    0.7656    0.5496   0.01091  0.001133         0
    71/499     8.86G  0.008415  0.001308         0  0.009723        46       640    0.4857    0.9197    0.7611    0.5474   0.01089  0.001137         0
    72/499     8.86G  0.008433  0.001309         0  0.009742        38       640    0.4889     0.917    0.7604    0.5458   0.01092  0.001144         0
    73/499     8.86G  0.008462  0.001308         0  0.009771        50       640    0.4933    0.9102    0.7546    0.5409   0.01096  0.001152         0
    74/499     8.86G  0.008501  0.001306         0  0.009807        47       640    0.4952    0.9085    0.7551    0.5406   0.01099  0.001153         0
    75/499     8.86G  0.008398  0.001289         0  0.009687        40       640    0.5042    0.9113    0.7587    0.5428   0.01099  0.001145         0
    76/499     8.86G  0.008428  0.001298         0  0.009726        47       640    0.5126    0.9122    0.7549      0.54   0.01096  0.001139         0
    77/499     8.86G  0.008435  0.001286         0  0.009721        55       640    0.5183    0.9104    0.7562    0.5422   0.01095  0.001133         0
    78/499     8.86G  0.008417  0.001286         0  0.009703        60       640    0.5196    0.9107    0.7528      0.54   0.01093   0.00113         0
    79/499     8.86G   0.00835   0.00128         0   0.00963        60       640    0.5225    0.9134    0.7528    0.5383   0.01093  0.001125         0
    80/499     8.86G  0.008366  0.001291         0  0.009657        34       640    0.5218    0.9113    0.7468    0.5338   0.01095  0.001129         0
    81/499     8.86G  0.008288  0.001292         0  0.009581        34       640    0.5194    0.9098    0.7435    0.5324   0.01094  0.001132         0
    82/499     8.86G  0.008302  0.001259         0  0.009561        54       640    0.5208    0.9076     0.742    0.5306   0.01095  0.001135         0
    83/499     8.86G  0.008247  0.001272         0  0.009519        48       640    0.5231    0.9049    0.7439    0.5317   0.01094  0.001136         0
    84/499     8.86G  0.008236  0.001269         0  0.009505        29       640    0.5275    0.9046    0.7477     0.535   0.01093  0.001132         0
    85/499     8.86G  0.008208  0.001271         0  0.009479        42       640    0.5281    0.9052    0.7511     0.538   0.01092  0.001127         0
    86/499     8.86G  0.008258  0.001253         0  0.009511        65       640    0.5292     0.907    0.7548    0.5403   0.01091  0.001123         0
    87/499     8.86G   0.00818  0.001267         0  0.009447        51       640    0.5279    0.9079    0.7572    0.5418   0.01091  0.001123         0
    88/499     8.86G   0.00816  0.001247         0  0.009408        59       640     0.527    0.9076    0.7589    0.5429   0.01092  0.001123         0
    89/499     8.86G  0.008061   0.00125         0  0.009311        51       640    0.5237    0.9034    0.7575    0.5422   0.01094  0.001129         0
    90/499     8.86G  0.008208  0.001271         0   0.00948        49       640    0.5197    0.9034    0.7579    0.5427   0.01094  0.001131         0
    91/499     8.86G  0.008121  0.001251         0  0.009371        52       640    0.5153    0.9049    0.7572    0.5423   0.01095  0.001134         0
    92/499     8.86G  0.008103  0.001234         0  0.009336        31       640    0.5136    0.9055    0.7567    0.5419   0.01094  0.001135         0
    93/499     8.86G  0.008157  0.001247         0  0.009404        19       640    0.5098    0.9052    0.7544    0.5405   0.01094  0.001138         0
